torna;datum;burkolat;eredmeny;gyoztes neve;gyoztes magassaga;gyoztes nemzetisege;gyoztes eletkora;vesztes neve;vesztes magassaga;vesztes nemzetisege;vesztes eletkora
Doha;2015-02-23;Kemény;6-5 RET;Carla Suarez Navarro;162;ESP;26,47;Garbine Muguruza;182;ESP;21,38
Doha;2015-02-23;Kemény;7-6(3) 6-4;Lucie Safarova;177;CZE;28,05;Samantha Stosur;172;AUS;30,90
Doha;2015-02-23;Kemény;6-3 6-2;Zarina Diyas;;KAZ;21,35;Ons Jabeur;;TUN;20,49
Doha;2015-02-23;Kemény;6-7(5) 6-3 6-2;Andrea Petkovic;180;GER;27,46;Kirsten Flipkens;165;BEL;29,12
Doha;2015-02-23;Kemény;3-6 6-2 6-1;Venus Williams;185;USA;34,69;Casey Dellacqua;;AUS;30,03
Doha;2015-02-23;Kemény;7-5 6-4;Barbora Zahlavova Strycova;164;CZE;28,91;Sabine Lisicki;178;GER;25,42
Doha;2015-02-23;Kemény;3-6 6-4 6-2;Flavia Pennetta;172;ITA;32,99;Svetlana Kuznetsova;174;RUS;29,66
Doha;2015-02-23;Kemény;6-0 6-3;Victoria Azarenka;180;BLR;25,57;Angelique Kerber;173;GER;27,10
Doha;2015-02-23;Kemény;6-4 5-7 6-4;Elina Svitolina;174;UKR;20,45;Daria Gavrilova;;RUS;20,97
Doha;2015-02-23;Kemény;6-4 3-6 6-1;Alexandra Dulgheru;;ROU;25,74;Alize Cornet;173;FRA;25,09
Doha;2015-02-23;Kemény;6-3 1-1 RET;Petra Kvitova;183;CZE;24,96;Jelena Jankovic;177;SRB;29,98
Doha;2015-02-23;Kemény;7-6(2) 6-4;Carla Suarez Navarro;162;ESP;26,47;Karolina Pliskova;184;CZE;22,93
Doha;2015-02-23;Kemény;6-2 6-7(5) 6-3;Lucie Safarova;177;CZE;28,05;Ekaterina Makarova;178;RUS;26,71
Doha;2015-02-23;Kemény;5-7 6-2 6-4;Andrea Petkovic;180;GER;27,46;Zarina Diyas;;KAZ;21,35
Doha;2015-02-23;Kemény;7-5 3-6 7-6(5);Venus Williams;185;USA;34,69;Barbora Zahlavova Strycova;164;CZE;28,91
Doha;2015-02-23;Kemény;6-1 6-1;Agnieszka Radwanska;170;POL;25,97;Flavia Pennetta;172;ITA;32,99
Doha;2015-02-23;Kemény;6-3 6-7(4) 6-1;Victoria Azarenka;180;BLR;25,57;Elina Svitolina;174;UKR;20,45
Doha;2015-02-23;Kemény;6-1 3-0 RET;Caroline Wozniacki;177;DEN;24,62;Alexandra Dulgheru;;ROU;25,74
Doha;2015-02-23;Kemény;3-6 6-0 6-3;Carla Suarez Navarro;162;ESP;26,47;Petra Kvitova;183;CZE;24,96
Doha;2015-02-23;Kemény;6-2 6-1;Lucie Safarova;177;CZE;28,05;Andrea Petkovic;180;GER;27,46
Doha;2015-02-23;Kemény;6-4 1-6 6-3;Venus Williams;185;USA;34,69;Agnieszka Radwanska;170;POL;25,97
Doha;2015-02-23;Kemény;6-3 6-1;Victoria Azarenka;180;BLR;25,57;Caroline Wozniacki;177;DEN;24,62
Doha;2015-02-23;Kemény;6-3 6-2;Lucie Safarova;177;CZE;28,05;Carla Suarez Navarro;162;ESP;26,47
Doha;2015-02-23;Kemény;2-6 6-2 6-4;Victoria Azarenka;180;BLR;25,57;Venus Williams;185;USA;34,69
Doha;2015-02-23;Kemény;6-4 6-3;Lucie Safarova;177;CZE;28,05;Victoria Azarenka;180;BLR;25,57
Monterrey;2015-03-02;Kemény;6-1 7-6(4);Ana Ivanovic;183;SRB;27,32;Nicole Vaidisova;181;CZE;25,86
Monterrey;2015-03-02;Kemény;3-6 6-4 6-1;Pauline Parmentier;175;FRA;29,08;Aleksandra Krunic;;SRB;21,96
Monterrey;2015-03-02;Kemény;6-4 6-4;Kristina Mladenovic;184;FRA;21,80;Tereza Smitkova;;CZE;20,39
Monterrey;2015-03-02;Kemény;6-4 6-0;Vera Zvonareva;172;RUS;30,48;Alison Riske;;USA;24,66
Monterrey;2015-03-02;Kemény;7-5 7-6(5);Caroline Garcia;;FRA;21,37;Karin Knapp;180;ITA;27,68
Monterrey;2015-03-02;Kemény;3-6 7-6(3) 6-4;Francesca Schiavone;166;ITA;34,69;Bethanie Mattek Sands;168;USA;29,94
Monterrey;2015-03-02;Kemény;6-2 6-3;Polona Hercog;182;SLO;24,11;Ana Sofia Sanchez;;MEX;20,88
Monterrey;2015-03-02;Kemény;6-3 3-6 7-5;Magdalena Rybarikova;180;SVK;26,41;Jovana Jaksic;;SRB;21,42
Monterrey;2015-03-02;Kemény;7-6(1) 3-6 7-5;Daniela Hantuchova;181;SVK;31,86;Monica Puig;;PUR;21,43
Monterrey;2015-03-02;Kemény;7-6(0) 7-6(3);Urszula Radwanska;177;POL;24,23;Maria Teresa Torro Flor;173;ESP;22,83
Monterrey;2015-03-02;Kemény;6-2 6-0;Lesia Tsurenko;174;UKR;25,75;Shelby Rogers;;USA;22,38
Monterrey;2015-03-02;Kemény;7-6(8) 3-6 6-4;Timea Bacsinszky;;SUI;25,73;Yanina Wickmayer;182;BEL;25,36
Monterrey;2015-03-02;Kemény;4-6 6-3 6-0;Anastasia Pavlyuchenkova;177;RUS;23,66;Anna Karolina Schmiedlova;;SVK;20,47
Monterrey;2015-03-02;Kemény;6-3 6-2;Johanna Larsson;174;SWE;26,54;Kiki Bertens;182;NED;23,23
Monterrey;2015-03-02;Kemény;6-4 6-3;Timea Babos;179;HUN;21,81;Silvia Soler Espinosa;;ESP;27,28
Monterrey;2015-03-02;Kemény;6-0 6-3;Sara Errani;164;ITA;27,84;Lauren Davis;157;USA;21,39
Monterrey;2015-03-02;Kemény;6-3 6-2;Ana Ivanovic;183;SRB;27,32;Pauline Parmentier;175;FRA;29,08
Monterrey;2015-03-02;Kemény;6-4 6-2;Kristina Mladenovic;184;FRA;21,80;Vera Zvonareva;172;RUS;30,48
Monterrey;2015-03-02;Kemény;7-6(2) 6-0;Caroline Garcia;;FRA;21,37;Francesca Schiavone;166;ITA;34,69
Monterrey;2015-03-02;Kemény;7-5 3-6 7-6(9);Magdalena Rybarikova;180;SVK;26,41;Polona Hercog;182;SLO;24,11
Monterrey;2015-03-02;Kemény;6-2 6-4;Urszula Radwanska;177;POL;24,23;Daniela Hantuchova;181;SVK;31,86
Monterrey;2015-03-02;Kemény;4-6 6-4 6-4;Timea Bacsinszky;;SUI;25,73;Lesia Tsurenko;174;UKR;25,75
Monterrey;2015-03-02;Kemény;6-4 6-4;Anastasia Pavlyuchenkova;177;RUS;23,66;Johanna Larsson;174;SWE;26,54
Monterrey;2015-03-02;Kemény;6-3 6-3;Sara Errani;164;ITA;27,84;Timea Babos;179;HUN;21,81
Monterrey;2015-03-02;Kemény;6-3 6-2;Ana Ivanovic;183;SRB;27,32;Kristina Mladenovic;184;FRA;21,80
Monterrey;2015-03-02;Kemény;7-5 0-0 RET;Caroline Garcia;;FRA;21,37;Magdalena Rybarikova;180;SVK;26,41
Monterrey;2015-03-02;Kemény;6-4 6-2;Timea Bacsinszky;;SUI;25,73;Urszula Radwanska;177;POL;24,23
Monterrey;2015-03-02;Kemény;7-5 6-4;Sara Errani;164;ITA;27,84;Anastasia Pavlyuchenkova;177;RUS;23,66
Monterrey;2015-03-02;Kemény;6-1 6-4;Caroline Garcia;;FRA;21,37;Ana Ivanovic;183;SRB;27,32
Monterrey;2015-03-02;Kemény;6-0 4-6 7-6(3);Timea Bacsinszky;;SUI;25,73;Sara Errani;164;ITA;27,84
Monterrey;2015-03-02;Kemény;4-6 6-2 6-4;Timea Bacsinszky;;SUI;25,73;Caroline Garcia;;FRA;21,37
Kuala Lumpur;2015-03-02;Kemény;6-3 6-1;Caroline Wozniacki;177;DEN;24,64;Yafan Wang;;CHN;20,84
Kuala Lumpur;2015-03-02;Kemény;6-4 4-6 6-3;Lin Zhu;;CHN;21,09;Yuliya Beygelzimer;174;UKR;31,36
Kuala Lumpur;2015-03-02;Kemény;7-5 7-5;Carina Witthoeft;;GER;20,04;Misaki Doi;159;JPN;23,84
Kuala Lumpur;2015-03-02;Kemény;6-1 6-3;Klara Koukalova;166;CZE;33,02;Patricia Mayr Achleitner;;AUT;28,31
Kuala Lumpur;2015-03-02;Kemény;7-5 2-6 6-3;Su Wei Hsieh;169;TPE;29,16;Casey Dellacqua;;AUS;30,05
Kuala Lumpur;2015-03-02;Kemény;2-6 7-5 6-3;Misa Eguchi;;JPN;22,87;An Sophie Mestach;;BEL;20,99
Kuala Lumpur;2015-03-02;Kemény;6-2 6-1;Yulia Putintseva;;KAZ;20,15;Jawairiah Noordin;;MAS;24,40
Kuala Lumpur;2015-03-02;Kemény;6-3 6-3;Elizaveta Kulichkova;;RUS;18,89;Bojana Jovanovski;175;SRB;23,17
Kuala Lumpur;2015-03-02;Kemény;6-3 7-6(4);Kurumi Nara;;JPN;23,17;Stefanie Voegele;170;SUI;24,98
Kuala Lumpur;2015-03-02;Kemény;2-6 6-3 6-0;Magda Linette;;POL;23,05;Qiang Wang;;CHN;23,13
Kuala Lumpur;2015-03-02;Kemény;6-3 7-6(4);Luksika Kumkhum;;THA;21,61;Junri Namigata;;JPN;32,66
Kuala Lumpur;2015-03-02;Kemény;7-5 6-4;Jarmila Gajdosova;174;AUS;27,85;Cagla Buyukakcay;;TUR;25,42
Kuala Lumpur;2015-03-02;Kemény;6-1 7-6(2);Julia Goerges;180;GER;26,33;Alla Kudryavtseva;;RUS;27,33
Kuala Lumpur;2015-03-02;Kemény;6-3 6-4;Kateryna Kozlova;;UKR;21,03;Saisai Zheng;;CHN;21,07
Kuala Lumpur;2015-03-02;Kemény;6-0 3-6 6-3;Ying Ying Duan;;CHN;25,74;Yi Fan Xu;;CHN;26,56
Kuala Lumpur;2015-03-02;Kemény;6-4 7-5;Alexandra Dulgheru;;ROU;25,75;Sabine Lisicki;178;GER;25,44
Kuala Lumpur;2015-03-02;Kemény;6-4 6-1;Caroline Wozniacki;177;DEN;24,64;Lin Zhu;;CHN;21,09
Kuala Lumpur;2015-03-02;Kemény;7-6(3) 6-0;Carina Witthoeft;;GER;20,04;Klara Koukalova;166;CZE;33,02
Kuala Lumpur;2015-03-02;Kemény;6-3 3-6 6-0;Su Wei Hsieh;169;TPE;29,16;Misa Eguchi;;JPN;22,87
Kuala Lumpur;2015-03-02;Kemény;6-0 6-2;Elizaveta Kulichkova;;RUS;18,89;Yulia Putintseva;;KAZ;20,15
Kuala Lumpur;2015-03-02;Kemény;7-5 5-7 7-6(6);Kurumi Nara;;JPN;23,17;Magda Linette;;POL;23,05
Kuala Lumpur;2015-03-02;Kemény;7-5 6-2;Jarmila Gajdosova;174;AUS;27,85;Luksika Kumkhum;;THA;21,61
Kuala Lumpur;2015-03-02;Kemény;6-1 6-2;Julia Goerges;180;GER;26,33;Kateryna Kozlova;;UKR;21,03
Kuala Lumpur;2015-03-02;Kemény;6-4 6-1;Alexandra Dulgheru;;ROU;25,75;Ying Ying Duan;;CHN;25,74
Kuala Lumpur;2015-03-02;Kemény;6-3 6-1;Caroline Wozniacki;177;DEN;24,64;Carina Witthoeft;;GER;20,04
Kuala Lumpur;2015-03-02;Kemény;7-6(4) 4-6 6-0;Su Wei Hsieh;169;TPE;29,16;Elizaveta Kulichkova;;RUS;18,89
Kuala Lumpur;2015-03-02;Kemény;6-4 3-6 6-4;Jarmila Gajdosova;174;AUS;27,85;Kurumi Nara;;JPN;23,17
Kuala Lumpur;2015-03-02;Kemény;7-6(5) 7-5;Alexandra Dulgheru;;ROU;25,75;Julia Goerges;180;GER;26,33
Kuala Lumpur;2015-03-02;Kemény;6-2 6-2;Caroline Wozniacki;177;DEN;24,64;Su Wei Hsieh;169;TPE;29,16
Kuala Lumpur;2015-03-02;Kemény;5-7 7-5 7-6(4);Alexandra Dulgheru;;ROU;25,75;Jarmila Gajdosova;174;AUS;27,85
Kuala Lumpur;2015-03-02;Kemény;4-6 6-2 6-1;Caroline Wozniacki;177;DEN;24,64;Alexandra Dulgheru;;ROU;25,75
Indian Wells;2015-03-09;Kemény;6-2 6-1;Monica Niculescu;168;ROU;27,45;Aleksandra Krunic;;SRB;21,98
Indian Wells;2015-03-09;Kemény;6-4 6-3;Donna Vekic;;CRO;18,69;Louisa Chirico;;USA;18,81
Indian Wells;2015-03-09;Kemény;6-3 6-3;Katerina Siniakova;;CZE;18,83;Evgeniya Rodina;;RUS;26,09
Indian Wells;2015-03-09;Kemény;7-5 7-5;Sloane Stephens;170;USA;21,97;Chanelle Scheepers;;RSA;30,99
Indian Wells;2015-03-09;Kemény;6-3 5-7 6-4;Mona Barthel;185;GER;24,66;Kristina Mladenovic;184;FRA;21,82
Indian Wells;2015-03-09;Kemény;4-6 6-3 6-2;Alison Van Uytvanck;;BEL;20,95;Kurumi Nara;;JPN;23,19
Indian Wells;2015-03-09;Kemény;6-3 6-1;Marina Erakovic;174;NZL;27,01;Grace Min;;USA;20,84
Indian Wells;2015-03-09;Kemény;6-3 6-3;Elena Vesnina;176;RUS;28,60;Kateryna Kozlova;;UKR;21,05
Indian Wells;2015-03-09;Kemény;6-3 6-4;Daria Gavrilova;;RUS;21,01;Silvia Soler Espinosa;;ESP;27,30
Indian Wells;2015-03-09;Kemény;7-6(6) 7-6(6);Sachia Vickery;;USA;19,83;Alla Kudryavtseva;;RUS;27,35
Indian Wells;2015-03-09;Kemény;7-6(6) 6-4;Irina Falconi;;USA;24,85;Ajla Tomljanovic;;CRO;21,84
Indian Wells;2015-03-09;Kemény;6-0 6-1;Lara Arruabarrena;166;ESP;22,97;Magdalena Rybarikova;180;SVK;26,43
Indian Wells;2015-03-09;Kemény;6-3 7-5;Monica Puig;;PUR;21,45;Nicole Gibbs;;USA;22,02
Indian Wells;2015-03-09;Kemény;6-4 6-3;Anastasia Pavlyuchenkova;177;RUS;23,68;Johanna Larsson;174;SWE;26,56
Indian Wells;2015-03-09;Kemény;6-4 5-7 6-3;Heather Watson;170;GBR;22,80;Julia Goerges;180;GER;26,35
Indian Wells;2015-03-09;Kemény;6-2 6-3;Alison Riske;;USA;24,68;Mirjana Lucic;;CRO;33,00
Indian Wells;2015-03-09;Kemény;6-3 6-1;Lucie Hradecka;177;CZE;29,80;Jana Cepelova;168;SVK;21,78
Indian Wells;2015-03-09;Kemény;7-5 6-1;Sesil Karatantcheva;171;KAZ;25,58;Tsvetana Pironkova;180;BUL;27,49
Indian Wells;2015-03-09;Kemény;6-4 7-5;Christina Mchale;170;USA;22,83;Petra Cetkovska;172;CZE;30,08
Indian Wells;2015-03-09;Kemény;6-1 6-3;Lesia Tsurenko;174;UKR;25,77;Annika Beck;170;GER;21,06
Indian Wells;2015-03-09;Kemény;6-4 1-6 6-3;Klara Koukalova;166;CZE;33,03;Daniela Hantuchova;181;SVK;31,88
Indian Wells;2015-03-09;Kemény;6-2 6-2;Lauren Davis;157;USA;21,41;Anna Karolina Schmiedlova;;SVK;20,48
Indian Wells;2015-03-09;Kemény;6-3 6-4;Bojana Jovanovski;175;SRB;23,19;Kiki Bertens;182;NED;23,24
Indian Wells;2015-03-09;Kemény;7-5 6-2;Ons Jabeur;;TUN;20,53;Kaia Kanepi;181;EST;29,74
Indian Wells;2015-03-09;Kemény;6-4 6-4;Yulia Putintseva;;KAZ;20,17;Tereza Smitkova;;CZE;20,41
Indian Wells;2015-03-09;Kemény;6-1 6-1;Polona Hercog;182;SLO;24,13;Vera Zvonareva;172;RUS;30,50
Indian Wells;2015-03-09;Kemény;4-6 6-1 6-2;Roberta Vinci;163;ITA;32,05;Jarmila Gajdosova;174;AUS;27,87
Indian Wells;2015-03-09;Kemény;0-6 6-3 6-3;Lin Zhu;;CHN;21,11;Francesca Schiavone;166;ITA;34,71
Indian Wells;2015-03-09;Kemény;6-3 6-0;Madison Brengle;;USA;24,93;Saisai Zheng;;CHN;21,09
Indian Wells;2015-03-09;Kemény;6-4 5-7 7-5;Taylor Townsend;;USA;18,89;Bethanie Mattek Sands;168;USA;29,96
Indian Wells;2015-03-09;Kemény;6-2 6-4;Kirsten Flipkens;165;BEL;29,16;Shelby Rogers;;USA;22,40
Indian Wells;2015-03-09;Kemény;6-1 7-5;Yanina Wickmayer;182;BEL;25,38;Karin Knapp;180;ITA;27,70
Indian Wells;2015-03-09;Kemény;7-5 7-5;Serena Williams;175;USA;33,45;Monica Niculescu;168;ROU;27,45
Indian Wells;2015-03-09;Kemény;6-3 6-3;Zarina Diyas;;KAZ;21,39;Donna Vekic;;CRO;18,69
Indian Wells;2015-03-09;Kemény;7-6(2) 6-2;Svetlana Kuznetsova;174;RUS;29,70;Katerina Siniakova;;CZE;18,83
Indian Wells;2015-03-09;Kemény;7-6(6) 6-2;Sloane Stephens;170;USA;21,97;Angelique Kerber;173;GER;27,14
Indian Wells;2015-03-09;Kemény;6-4 7-6(4);Lucie Safarova;177;CZE;28,09;Mona Barthel;185;GER;24,66
Indian Wells;2015-03-09;Kemény;4-6 7-6(4) 6-1;Elina Svitolina;174;UKR;20,49;Alison Van Uytvanck;;BEL;20,95
Indian Wells;2015-03-09;Kemény;4-6 6-3 6-2;Timea Bacsinszky;;SUI;25,75;Marina Erakovic;174;NZL;27,01
Indian Wells;2015-03-09;Kemény;6-4 6-0;Ekaterina Makarova;178;RUS;26,75;Elena Vesnina;176;RUS;28,60
Indian Wells;2015-03-09;Kemény;2-6 6-1 6-2;Simona Halep;168;ROU;23,45;Daria Gavrilova;;RUS;21,01
Indian Wells;2015-03-09;Kemény;6-4 6-1;Varvara Lepchenko;180;USA;28,80;Sachia Vickery;;USA;19,83
Indian Wells;2015-03-09;Kemény;4-6 6-2 6-3;Garbine Muguruza;182;ESP;21,42;Irina Falconi;;USA;24,85
Indian Wells;2015-03-09;Kemény;6-3 7-5;Karolina Pliskova;184;CZE;22,97;Lara Arruabarrena;166;ESP;22,97
Indian Wells;2015-03-09;Kemény;6-1 6-1;Carla Suarez Navarro;162;ESP;26,51;Monica Puig;;PUR;21,45
Indian Wells;2015-03-09;Kemény;6-3 6-3;Anastasia Pavlyuchenkova;177;RUS;23,68;Barbora Zahlavova Strycova;164;CZE;28,95
Indian Wells;2015-03-09;Kemény;7-5 7-5;Heather Watson;170;GBR;22,80;Camila Giorgi;168;ITA;23,19
Indian Wells;2015-03-09;Kemény;6-3 6-1;Agnieszka Radwanska;170;POL;26,01;Alison Riske;;USA;24,68
Indian Wells;2015-03-09;Kemény;6-2 6-2;Eugenie Bouchard;;CAN;21,03;Lucie Hradecka;177;CZE;29,80
Indian Wells;2015-03-09;Kemény;6-2 6-3;Coco Vandeweghe;185;USA;23,26;Sesil Karatantcheva;171;KAZ;25,58
Indian Wells;2015-03-09;Kemény;4-6 6-2 6-1;Alize Cornet;173;FRA;25,13;Christina Mchale;170;USA;22,83
Indian Wells;2015-03-09;Kemény;6-3 4-6 6-4;Lesia Tsurenko;174;UKR;25,77;Andrea Petkovic;180;GER;27,50
Indian Wells;2015-03-09;Kemény;6-3 6-2;Madison Keys;178;USA;20,05;Klara Koukalova;166;CZE;33,03
Indian Wells;2015-03-09;Kemény;6-7(5) 6-0 6-4;Jelena Jankovic;177;SRB;30,02;Lauren Davis;157;USA;21,41
Indian Wells;2015-03-09;Kemény;6-2 7-6(2);Belinda Bencic;;SUI;18,00;Bojana Jovanovski;175;SRB;23,19
Indian Wells;2015-03-09;Kemény;7-6(3) 6-4;Caroline Wozniacki;177;DEN;24,66;Ons Jabeur;;TUN;20,53
Indian Wells;2015-03-09;Kemény;6-3 6-1;Ana Ivanovic;183;SRB;27,34;Yulia Putintseva;;KAZ;20,17
Indian Wells;2015-03-09;Kemény;6-4 6-7(5) 6-4;Caroline Garcia;;FRA;21,39;Polona Hercog;182;SLO;24,13
Indian Wells;2015-03-09;Kemény;6-1 5-7 6-4;Sabine Lisicki;178;GER;25,46;Roberta Vinci;163;ITA;32,05
Indian Wells;2015-03-09;Kemény;6-0 4-6 6-2;Sara Errani;164;ITA;27,86;Lin Zhu;;CHN;21,11
Indian Wells;2015-03-09;Kemény;6-4 6-2;Flavia Pennetta;172;ITA;33,03;Madison Brengle;;USA;24,93
Indian Wells;2015-03-09;Kemény;6-4 6-2;Samantha Stosur;172;AUS;30,94;Taylor Townsend;;USA;18,89
Indian Wells;2015-03-09;Kemény;6-2 6-4;Victoria Azarenka;180;BLR;25,60;Kirsten Flipkens;165;BEL;29,16
Indian Wells;2015-03-09;Kemény;6-1 7-5;Maria Sharapova;;RUS;27,89;Yanina Wickmayer;182;BEL;25,38
Indian Wells;2015-03-09;Kemény;6-2 6-0;Serena Williams;175;USA;33,45;Zarina Diyas;;KAZ;21,39
Indian Wells;2015-03-09;Kemény;7-6(4) 1-6 6-4;Sloane Stephens;170;USA;21,97;Svetlana Kuznetsova;174;RUS;29,70
Indian Wells;2015-03-09;Kemény;7-6(5) 7-5;Elina Svitolina;174;UKR;20,49;Lucie Safarova;177;CZE;28,09
Indian Wells;2015-03-09;Kemény;3-6 7-5 6-4;Timea Bacsinszky;;SUI;25,75;Ekaterina Makarova;178;RUS;26,75
Indian Wells;2015-03-09;Kemény;6-1 3-6 6-1;Simona Halep;168;ROU;23,45;Varvara Lepchenko;180;USA;28,80
Indian Wells;2015-03-09;Kemény;7-5 6-4;Karolina Pliskova;184;CZE;22,97;Garbine Muguruza;182;ESP;21,42
Indian Wells;2015-03-09;Kemény;7-6(4) 6-7(5) 6-0;Carla Suarez Navarro;162;ESP;26,51;Anastasia Pavlyuchenkova;177;RUS;23,68
Indian Wells;2015-03-09;Kemény;6-4 6-4;Heather Watson;170;GBR;22,80;Agnieszka Radwanska;170;POL;26,01
Indian Wells;2015-03-09;Kemény;6-3 6-2;Eugenie Bouchard;;CAN;21,03;Coco Vandeweghe;185;USA;23,26
Indian Wells;2015-03-09;Kemény;7-5 1-6 6-2;Lesia Tsurenko;174;UKR;25,77;Alize Cornet;173;FRA;25,13
Indian Wells;2015-03-09;Kemény;5-7 6-4 6-3;Jelena Jankovic;177;SRB;30,02;Madison Keys;178;USA;20,05
Indian Wells;2015-03-09;Kemény;6-4 6-4;Belinda Bencic;;SUI;18,00;Caroline Wozniacki;177;DEN;24,66
Indian Wells;2015-03-09;Kemény;6-2 5-7 6-2;Caroline Garcia;;FRA;21,39;Ana Ivanovic;183;SRB;27,34
Indian Wells;2015-03-09;Kemény;6-4 6-2;Sabine Lisicki;178;GER;25,46;Sara Errani;164;ITA;27,86
Indian Wells;2015-03-09;Kemény;6-4 6-2;Flavia Pennetta;172;ITA;33,03;Samantha Stosur;172;AUS;30,94
Indian Wells;2015-03-09;Kemény;6-4 6-3;Maria Sharapova;;RUS;27,89;Victoria Azarenka;180;BLR;25,60
Indian Wells;2015-03-09;Kemény;6-7(3) 6-2 6-2;Serena Williams;175;USA;33,45;Sloane Stephens;170;USA;21,97
Indian Wells;2015-03-09;Kemény;4-6 6-1 6-1;Timea Bacsinszky;;SUI;25,75;Elina Svitolina;174;UKR;20,49
Indian Wells;2015-03-09;Kemény;6-4 6-4;Simona Halep;168;ROU;23,45;Karolina Pliskova;184;CZE;22,97
Indian Wells;2015-03-09;Kemény;7-6(5) 3-6 6-1;Carla Suarez Navarro;162;ESP;26,51;Heather Watson;170;GBR;22,80
Indian Wells;2015-03-09;Kemény;6-7(5) 7-5 6-4;Lesia Tsurenko;174;UKR;25,77;Eugenie Bouchard;;CAN;21,03
Indian Wells;2015-03-09;Kemény;6-3 3-6 6-3;Jelena Jankovic;177;SRB;30,02;Belinda Bencic;;SUI;18,00
Indian Wells;2015-03-09;Kemény;6-4 6-4;Sabine Lisicki;178;GER;25,46;Caroline Garcia;;FRA;21,39
Indian Wells;2015-03-09;Kemény;3-6 6-3 6-2;Flavia Pennetta;172;ITA;33,03;Maria Sharapova;;RUS;27,89
Indian Wells;2015-03-09;Kemény;7-5 6-3;Serena Williams;175;USA;33,45;Timea Bacsinszky;;SUI;25,75
Indian Wells;2015-03-09;Kemény;5-7 6-1 6-1;Simona Halep;168;ROU;23,45;Carla Suarez Navarro;162;ESP;26,51
Indian Wells;2015-03-09;Kemény;6-1 4-1 RET;Jelena Jankovic;177;SRB;30,02;Lesia Tsurenko;174;UKR;25,77
Indian Wells;2015-03-09;Kemény;6-4 6-7(3) 7-6(4);Sabine Lisicki;178;GER;25,46;Flavia Pennetta;172;ITA;33,03
Indian Wells;2015-03-09;Kemény;W/O;Simona Halep;168;ROU;23,45;Serena Williams;175;USA;33,45
Indian Wells;2015-03-09;Kemény;3-6 6-3 6-1;Jelena Jankovic;177;SRB;30,02;Sabine Lisicki;178;GER;25,46
Indian Wells;2015-03-09;Kemény;2-6 7-5 6-4;Simona Halep;168;ROU;23,45;Jelena Jankovic;177;SRB;30,02
Miami;2015-03-23;Kemény;7-6(1) 6-1;Monica Niculescu;168;ROU;27,49;Shelby Rogers;;USA;22,44
Miami;2015-03-23;Kemény;6-2 6-2;Catherine Cartan Bellis;;USA;15,96;Indy De Vroome;;NED;18,84
Miami;2015-03-23;Kemény;6-4 6-0;Alison Riske;;USA;24,72;Mirjana Lucic;;CRO;33,04
Miami;2015-03-23;Kemény;3-6 6-1 7-5;Heather Watson;170;GBR;22,84;Evgeniya Rodina;;RUS;26,13
Miami;2015-03-23;Kemény;6-2 3-6 7-5;Anastasia Pavlyuchenkova;177;RUS;23,72;Vera Zvonareva;172;RUS;30,54
Miami;2015-03-23;Kemény;6-3 7-6(5);Sesil Karatantcheva;171;KAZ;25,62;Lauren Davis;157;USA;21,45
Miami;2015-03-23;Kemény;6-1 6-0;Julia Goerges;180;GER;26,38;Jana Cepelova;168;SVK;21,82
Miami;2015-03-23;Kemény;7-6(9) 7-6(3);Irina Falconi;;USA;24,88;Monica Puig;;PUR;21,48
Miami;2015-03-23;Kemény;6-1 7-6(4);Nicole Vaidisova;181;CZE;25,91;Timea Babos;179;HUN;21,87
Miami;2015-03-23;Kemény;7-5 2-6 6-0;Alison Van Uytvanck;;BEL;20,99;Magdalena Rybarikova;180;SVK;26,46
Miami;2015-03-23;Kemény;6-1 6-3;Victoria Azarenka;180;BLR;25,64;Silvia Soler Espinosa;;ESP;27,34
Miami;2015-03-23;Kemény;6-4 6-3;Tsvetana Pironkova;180;BUL;27,52;Kateryna Kozlova;;UKR;21,08
Miami;2015-03-23;Kemény;6-4 7-6(4);Johanna Larsson;174;SWE;26,60;Yaroslava Shvedova;180;KAZ;27,53
Miami;2015-03-23;Kemény;6-1 6-3;Sloane Stephens;170;USA;22,01;Yanina Wickmayer;182;BEL;25,42
Miami;2015-03-23;Kemény;6-1 7-6(5);Belinda Bencic;;SUI;18,03;Daniela Hantuchova;181;SVK;31,92
Miami;2015-03-23;Kemény;7-6(9) 6-3;Tatjana Maria;;GER;27,62;Roberta Vinci;163;ITA;32,09
Miami;2015-03-23;Kemény;6-3 6-2;Anna Karolina Schmiedlova;;SVK;20,52;Polona Hercog;182;SLO;24,17
Miami;2015-03-23;Kemény;0-6 7-5 6-2;Tereza Smitkova;;CZE;20,45;Natalia Vikhlyantseva;;RUS;18,09
Miami;2015-03-23;Kemény;6-4 6-2;Elena Vesnina;176;RUS;28,64;Alexandra Dulgheru;;ROU;25,81
Miami;2015-03-23;Kemény;6-2 6-2;Stefanie Voegele;170;SUI;25,03;Kirsten Flipkens;165;BEL;29,20
Miami;2015-03-23;Kemény;6-4 6-7(2) 6-3;Urszula Radwanska;177;POL;24,29;Coco Vandeweghe;185;USA;23,29
Miami;2015-03-23;Kemény;4-6 6-2 6-3;Pauline Parmentier;175;FRA;29,14;Kiki Bertens;182;NED;23,28
Miami;2015-03-23;Kemény;6-2 6-3;Kaia Kanepi;181;EST;29,78;Francoise Abanda;;CAN;18,12
